SKU,BRAND,IME PRODUKTA,KATEGORIJA,PODKATEGORIJA,PODPODKATEGORIJA,KRATEK OPIS,DOLGI OPIS,CENA,SLIKE,URL
G004AA00,PETZL,Ščitnik kambija PETZL NAJA,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,Vrvi: 11–13 mm | Dolžina: 150 cm | Teža: 400 g | Učinkovitost škripca: 91 %,"<h2>Nadomestni trak za PETZL NAJA 150 cm</h2>

<p>
Nadomestni trak za nastavljivi cambium saver PETZL NAJA, namenjen arborističnim delom in enostavni integraciji v sistem NAJA.
Trak dolžine 150 cm ima štiri nastavitvene položaje, ki omogočajo prilagoditev različnim premerom vej,
ter možnost povezave z dodatnim trakom za podaljšanje dosega.
</p>

<ul>
  <li><strong>Dolžina:</strong> 150 cm</li>
  <li><strong>Teža:</strong> 140 g</li>
  <li><strong>Material:</strong> poliester</li>
  <li><strong>Nastavitveni položaji:</strong> 4 (na traku dolžine 1,5 m)</li>
  <li>možnost povezave z dodatnim trakom za delo na večjih drevesih</li>
</ul>

<p>
Nadomestni trak je posebej zasnovan za uporabo z nastavljivim cambium saverjem NAJA
in omogoča večjo prilagodljivost ter učinkovitost pri arborističnih opravilih.
</p>","159,50","https://skyman-cz.s9.cdn-upgates.com/_cache/6/2/62…85f93f15344-d77b622a1b161cf9d051b37b9397cbca.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/2/c/2c…85f93f23c25-ea833ea34c081c60a386ed7e346a7a78.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/7/d/7d…85f93f3194e-3370a72e05960bff1467c805b24ecc19.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/2/d/2d…85f93f529d0-112891f7f22c4dbf3ef9e3132f5da714.jpeg",https://www.skyman.cz/en/p/cambium-saver-petzl-naja
G004BA00,PETZL,Nadomestni trak PETZL NAJA - 150 cm,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,"150 cm | 140 g | 1,5 m – 4 nastavitveni položaji","<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nadomestni trak za PETZL NAJA</title>
</head>
<body>

    <h1>Nadomestni trak za PETZL NAJA 150 cm</h1>

    <p>Nadomestni trak za PETZL NAJA.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Dolžina:</strong> 150 cm, 250 cm</li>
        <li><strong>Teža:</strong> 140 g, 230 g</li>
        <li><strong>Material:</strong> poliester</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>za uporabo z nastavljivim varovalom za lubje PETZL NAJA</li>
        <li>trak dolžine 1,5 m ima štiri različne nastavitvene položaje, trak dolžine 2,5 m pa šest položajev</li>
        <li>možnost povezave z drugim trakom za podaljšanje, kar omogoča delo na drevesih večjega premera</li>
    </ul>

</body>
</html>
","21,30",https://skyman-cz.s9.cdn-upgates.com/_cache/e/3/e3…85f9402f2df-2f17db715d4d06342bb1358830ffc12d.jpeg,https://www.skyman.cz/en/p/spare-strap-for-petzl-naja-150-cm#
G004BA01,PETZL,Nadomestni trak PETZL NAJA - 250 cm,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,"250 cm | 230 g | 2,5 m – 6 nastavitvenih položajev","<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nadomestni trak za PETZL NAJA 250 cm</title>
</head>
<body>

    <h1>Nadomestni trak za PETZL NAJA 250 cm</h1>

    <p>Nadomestni trak za PETZL NAJA.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Dolžina:</strong> 150 cm, 250 cm</li>
        <li><strong>Teža:</strong> 140 g, 230 g</li>
        <li><strong>Material:</strong> poliester</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>za uporabo z nastavljivim varovalom za lubje PETZL NAJA</li>
        <li>trak dolžine 1,5 m ima štiri različne nastavitvene položaje, trak dolžine 2,5 m pa šest položajev</li>
        <li>lahko se poveže z drugim trakom za podaljšanje, kar omogoča delo na drevesih večjega premera</li>
    </ul>

</body>
</html>
","34,30",https://skyman-cz.s9.cdn-upgates.com/_cache/e/3/e3…85f9402f2df-2f17db715d4d06342bb1358830ffc12d.jpeg,https://www.skyman.cz/en/p/spare-strap-for-petzl-naja-250-cm#
G004CA00,PETZL,Krogla za PETZL NAJA ,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,Premer: 21 mm || za varovalo za kambij (cambium saver) PETZL NAJA,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nadomestna zatezna kroglica za PETZL NAJA</title>
</head>
<body>

    <h1>Nadomestna zatezna kroglica za PETZL NAJA</h1>

    <p>Nadomestna zatezna kroglica za PETZL NAJA.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Teža:</strong> 8 g</li>
        <li><strong>Premer:</strong> 21 mm</li>
        <li><strong>Material:</strong> najlon</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>posebej zasnovana za PETZL NAJA</li>
        <li>ni združljiva z drugimi varovali za lubje (cambium saverji)</li>
    </ul>

</body>
</html>
","4,10",https://skyman-cz.s9.cdn-upgates.com/_cache/8/9/89…85f9406fdd2-192a83a069c08af9405411364934acda.jpeg,https://www.skyman.cz/en/p/replacement-tightening-ball-for-petzl-naja#
G001AA00,PETZL,Ščitnik kambija EJECT,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,Nastavljiv sidrni trak – zaščita kambija za arboristiko | 150 cm | 25 kN | 490 g,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Sidrna naprava PETZL EJECT</title>
</head>
<body>

    <h1>Sidrna naprava PETZL EJECT</h1>

    <p>Sidrna naprava PETZL EJECT.</p>

    <p>
        Nastavljiv sidrni trak – varovalo za kambij z integriranim škripcem, ki ga je mogoče enostavno odstraniti s tal.
        EJECT je zasnovan za arboristiko in omogoča namestitev sidrne točke za delovno vrv brez poškodb kambija drevesa,
        tudi na ozkih delih. Ponuja več možnosti namestitve na eni ali dveh vejah ter sistem, ki omogoča natančno nastavitev dolžine.
    </p>

    <p>
        Vzpenjanje po vrvi in gibanje v krošnji drevesa sta optimizirana zahvaljujoč zelo učinkovitemu škripcu, ki omogoča
        gladko drsenje vrvi skozi sidrno točko. Vlečna kroglica je del sistema in omogoča enostavno odstranitev traku s tal.
    </p>

    <p>
        Sistem omogoča več različic namestitve na eni ali dveh vejah. Nastavljalnik vrvi natančno prilagaja dolžino traku,
        da ostane pravilno nameščen. Namestitev vrvi je možna, če je trak pravilno nameščen in je distančnik pritrdilne točke zavarovan.
    </p>

    <h2>Prednosti</h2>
    <ul>
        <li>odlično prehajanje skozi razvejanost pri zlaganju</li>
        <li>možnost V-sidranja med dvema sidrnima točkama (vejama) za doseganje višjega položaja</li>
        <li>gladko delovanje zahvaljujoč kakovostnemu škripcu z velikim kolescem</li>
        <li>enostavna in natančna nastavitev dolžine</li>
    </ul>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Nosilnost:</strong> 25 kN</li>
        <li><strong>Teža:</strong> 490 g</li>
        <li><strong>Dolžina:</strong> 150 cm</li>
        <li><strong>Certifikati:</strong> CE EN 795 B, CE EN 12278, ANSI Z133, EAC, TS 16415</li>
        <li><strong>Material:</strong> aluminij, nerjaveče jeklo, najlon, poliester</li>
        <li><strong>Minimalni premer vrvi:</strong> 11 mm</li>
        <li><strong>Maksimalni premer vrvi:</strong> 13 mm</li>
    </ul>

</body>
</
","283,50","https://skyman-cz.s9.cdn-upgates.com/_cache/9/e/9e…85f93e05a11-a7d9b74502fd59db4845175d878f8b58.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/f/6/f6…85f93e15228-a6ecac39e0959b7aeb379ed2ab04314d.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/5/b/5b…85f93e25c83-2c4f6981f89aa620774b988d015b93c9.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/4/1/41…85f93e34dc7-5b4be48f38a835120766fbce1d82b70a.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/f/e/fe…85f93e44176-3f1536d7ba57770b73a09ee4ba0183ef.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/0/0/00…85f93e53f58-7c24d2f5c005f5cfca6c414c6adc4d8d.jpeg",https://www.skyman.cz/en/p/anchoring-device-petzl-eject
G002AA00,PETZL,Nadomestni trak EJECT - 150 cm,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,Nadomestni trak za  zaščito kambija EJECT | 150 cm,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Trak za sidrno napravo PETZL EJECT – 150 cm</title>
</head>
<body>

    <h1>Trak za sidrno napravo PETZL EJECT – 150 cm</h1>

    <p>Rezervni trak za sidrni sistem EJECT – varovalo za kambij z integriranim škripcem.</p>

    <p>
        Trak se lahko uporablja kot nadomestni del za zamenjavo poškodovanega traku ali pa se
        z povezavo dveh trakov podaljša njegova dolžina za uporabo na vejah večjega obsega.
    </p>

    <h2>Uporaba</h2>
    <ul>
        <li>zamenjava poškodovanega traku</li>
        <li>povezava dveh trakov za uporabo na vejah večjega obsega</li>
    </ul>

    <h2>Lastnosti</h2>
    <ul>
        <li>na voljo v dveh dolžinah: 150 cm in 250 cm</li>
        <li>združljiv s sidrno napravo PETZL EJECT</li>
    </ul>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Nosilnost:</strong> 25 kN</li>
        <li><strong>Dolžina:</strong> 150 cm</li>
    </ul>

</body>
</html>
","17,70",https://skyman-cz.s9.cdn-upgates.com/_cache/8/1/81…85f93fe9546-7b389fd2556a47cdb9034d65f49fe396.jpeg,https://www.skyman.cz/en/p/strap-for-anchoring-device-petzl-eject-150-cm
G002AA01,PETZL,Nadomestni trak EJECT - 250 cm,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,Nadomestni trak za  zaščito kambija EJECT | 250 cm,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Trak za sidrno napravo PETZL EJECT – 250 cm</title>
</head>
<body>

    <h1>Trak za sidrno napravo PETZL EJECT – 250 cm</h1>

    <p>Rezervni trak za sidrni sistem EJECT – varovalo za kambij z integriranim škripcem.</p>

    <p>
        Trak se lahko uporablja kot nadomestni del za zamenjavo poškodovanega traku ali pa se
        z povezavo dveh trakov podaljša njegova dolžina za uporabo na vejah večjega obsega.
    </p>

    <h2>Uporaba</h2>
    <ul>
        <li>zamenjava poškodovanega traku</li>
        <li>povezava dveh trakov za uporabo na vejah večjega obsega</li>
    </ul>

    <h2>Lastn
","27,20",https://skyman-cz.s9.cdn-upgates.com/_cache/8/1/81…85f93fe9546-7b389fd2556a47cdb9034d65f49fe396.jpeg,https://www.skyman.cz/en/p/strap-for-anchoring-device-petzl-eject-250-cm
G003AA00,PETZL,Krogla za EJECT,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,Premer: 21 mm ||kroglica za  zaščito kambija EJECT | 8 g,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Zatezna kroglica za sidrni trak PETZL EJECT</title>
</head>
<body>

    <h1>Zatezna kroglica za sidrni trak PETZL EJECT</h1>

    <p>Zatezna kroglica za sidrni trak PETZL EJECT.</p>

    <p>
        Zatezna kroglica je posebej zasnovana za zatezanje sidrnega traku – varovala za kambij EJECT.
        Omogoča enostavno in hitro odstranitev sidrnega sistema s tal.
    </p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Teža:</strong> 8 g</li>
        <li><strong>Premer:</strong> 21 mm</li>
        <li><strong>Material:</strong> najlon</li>
    </ul>

</body>
</html>
","4,10",https://skyman-cz.s9.cdn-upgates.com/_cache/6/1/61…85f93fdc45d-8cbd1846acf926bf2066c0385e4a3554.jpeg,https://www.skyman.cz/en/p/tightening-ball-for-petzl-eject-anchoring-strap#
G040AA00,PETZL,Ščitnik kambija PETZL TREESBEE 90cm,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,90 cm | 23 kN | največji premer vrvi 13 mm,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Varovalo za kambij PETZL TREESBEE – 90 cm</title>
</head>
<body>

    <h1>Varovalo za kambij PETZL TREESBEE – 90 cm</h1>

    <p>Varovalo za kambij PETZL TREESBEE.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> rumeno-črna</l
","59,10","https://skyman-cz.s9.cdn-upgates.com/_cache/e/5/e5…85f93cce8dc-08d1fcdb071ed4827eb98693d4797f51.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/1/b/1b…85f93cde0a0-9e0f94246f5f3939d02b2834ab4a81c1.jpeg",https://www.skyman.cz/en/p/cambium-saver-petzl-treesbee-90-cm
G040AA01,PETZL,Ščitnik kambija PETZL TREESBEE  110 cm,PLEZALNA OPREMA,NAMESTITEV VRVI,ŠČITNIK KAMBIJA,110 cm | 23 kN | največji premer vrvi 13 mm,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Varovalo za kambij PETZL TREESBEE – 110 cm</title>
</head>
<body>

    <h1>Varovalo za kambij PETZL TREESBEE – 110 cm</h1>

    <p>Varovalo za kambij PETZL TREESBEE.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> rumeno-črna</li>
        <li><strong>Dolžina:</strong> 90 cm, 110 cm</li>
        <li><strong>Teža:</strong> 420 g, 440 g</li>
        <li><strong>Premer velikega obroča (notranji/zunanji):</strong> 46 / 70 mm</li>
        <li><strong>Premer malega obroča (notranji/zunanji):</strong> 28 / 52 mm</li>
        <li><strong>Maksimalni premer vrvi:</strong> 13 mm</li>
        <li><strong>Material obročev:</strong> jeklo, najlon</li>
        <li><strong>Nosilnost:</strong> 23 kN</li>
        <li><strong>Certifikati:</strong> EN 795B, TS 16415, EAC</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>združljivo z vlečno kroglico premera 30 mm</li>
","61,40","https://skyman-cz.s9.cdn-upgates.com/_cache/f/e/fe…85f93d0c61b-6bf324173867be1726b2bd237745876d.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/9/4/94…85f93cf1754-1102483a8db3ecb06631d14654de26ca.jpeg",https://www.skyman.cz/en/p/cambium-saver-petzl-treesbee-110-cm
